movieId,title,genres,userId,rating,date,time,sentiment,review,tag,top_critic,publisher,date
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"A distinctly gallows take on contemporary financial mores, as one absurdly rich man's limo ride across town for a haircut functions as a state-of-the-nation discourse. ",moldy,0.0,Patrick Nabarro,"November 10, 2018"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,It's an allegory in search of a meaning that never arrives...It's just old-fashioned bad storytelling.,moldy,0.0,io9.com,"May 23, 2018"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,... life lived in a bubble in financial dealings and digital communications and brief face-to-face conversations and sexual intermissions in a space shuttle of a limousine creeping through the gridlock of an anonymous New York City.,moldy,0.0,Stream on Demand,"January 4, 2018"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"Continuing along a line introduced in last year's ""A Dangerous Method"", David Cronenberg pushes his cinema towards a talky abstraction in his uncanny, perversely funny and frighteningly insular adaptation of Don DeLillo, ""Cosmopolis"".",moldy,0.0,MUBI,"November 16, 2017"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,... a perverse twist on neorealism... ,moldy,0.0,Cinema Scope,"October 12, 2017"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"... Cronenberg's Cosmopolis expresses something new and necessary about the book, which is to say about limits, the gaps in what can be known, both within and between us.",moldy,0.0,Capital New York,"September 11, 2017"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"Quickly grows repetitive and tiresome, meandering toward messages that land softly, producing little impact.",moldy,0.0,EricDSnider.com,"July 17, 2013"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,Cronenberg is not a director to be daunted by a scenario in which the antihero spends most of his time in a stretch limo. Turning it into a film that interests anyone ... is another matter,moldy,0.0,Las Vegas CityLife,"April 21, 2013"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"Cronenberg's cold, exacting precision and emotionally removed observation may not grab all viewers, but under those perfect surfaces is a raw horror trying to claw out of the denial.",moldy,0.0,Parallax View,"March 24, 2013"
3,Grumpier Old Men (1995),Comedy|Romance,1.0,4.0,2000-07-30,18:20:47,Positive,"Over and above its topical urgency or the bit about the misfortune of globalism, it does what this director has always done in his films: split open the head of a character, plunge inside and try to visualise the bad and the ugly things to be found there.",moldy,0.0,Bangkok Post,"March 4, 2013"
